feature,importance
hour,0.4390315851248426
trend_daily_lag2,0.2570640165343865
net_price_day_5,0.07706618784949854
net_price,0.07579071349505502
day_of_week_n,0.03442883710624111
quantity_ewm_alpha_095_lag_7,0.032963065391734825
net_price_day_2,0.02398223104010409
quantity_hourly_lag132,0.019357298473398395
quantity_daily_lag4,0.010093555441392992
net_price_day_3,0.006274087511111033
quantity_hourly_lag48,0.006126887336498267
FP_quantity_daily_lag2,0.005207934380176627
net_price_day_6,0.004636970323617786
net_price_day_0,0.004446788493123849
net_price_day_4,0.0029811318139882203
net_price_day_1,0.0005487096848301606
