,pred,prices
0,7.250723946132118,21121
1,7.250723946132118,21141
2,7.250723946132118,21161
3,7.250723946132118,21181
4,7.250723946132118,21201
5,7.250723946132118,21221
6,7.250723946132118,21241
7,7.250723946132118,21261
8,7.250723946132118,21281
9,7.250723946132118,21301
10,7.250723946132118,21321
11,7.250723946132118,21341
12,7.250723946132118,21361
13,7.900653122924931,21381
14,7.900653122924931,21401
15,7.900653122924931,21421
16,7.900653122924931,21441
17,7.900653122924931,21461
18,7.900653122924931,21481
19,7.900653122924931,21501
20,8.449639300114049,21521
21,8.449639300114049,21541
22,8.449639300114049,21561
23,8.449639300114049,21581
24,8.449639300114049,21601
25,8.449639300114049,21621
26,8.449639300114049,21641
27,8.449639300114049,21661
28,8.449639300114049,21681
29,8.449639300114049,21701
30,8.449639300114049,21721
31,8.449639300114049,21741
32,8.449639300114049,21761
33,8.449639300114049,21781
34,8.449639300114049,21801
35,8.449639300114049,21821
36,8.449639300114049,21841
37,8.449639300114049,21861
38,7.961380025889491,21881
39,7.961380025889491,21901
40,7.961380025889491,21921
41,7.961380025889491,21941
42,7.961380025889491,21961
43,7.961380025889491,21981
44,7.961380025889491,22001
45,7.961380025889491,22021
46,7.961380025889491,22041
47,7.961380025889491,22061
48,7.961380025889491,22081
49,7.961380025889491,22101
50,7.961380025889491,22121
51,7.961380025889491,22141
52,7.961380025889491,22161
53,7.961380025889491,22181
54,7.961380025889491,22201
55,7.961380025889491,22221
56,7.961380025889491,22241
57,7.961380025889491,22261
58,7.961380025889491,22281
59,7.961380025889491,22301
60,7.961380025889491,22321
61,7.961380025889491,22341
62,7.961380025889491,22361
63,7.961380025889491,22381
64,7.961380025889491,22401
65,7.961380025889491,22421
66,7.961380025889491,22441
67,7.961380025889491,22461
68,7.961380025889491,22481
69,7.961380025889491,22501
70,7.961380025889491,22521
71,7.961380025889491,22541
72,8.627348224567767,22561
73,8.627348224567767,22581
74,8.496819061089898,22601
75,8.496819061089898,22621
76,8.496819061089898,22641
77,8.496819061089898,22661
78,8.496819061089898,22681
79,8.496819061089898,22701
80,8.496819061089898,22721
81,8.496819061089898,22741
82,8.496819061089898,22761
83,8.496819061089898,22781
84,8.496819061089898,22801
85,8.496819061089898,22821
86,8.496819061089898,22841
87,8.496819061089898,22861
88,8.496819061089898,22881
89,8.496819061089898,22901
90,8.496819061089898,22921
91,8.496819061089898,22941
92,8.496819061089898,22961
93,8.496819061089898,22981
94,8.496819061089898,23001
95,8.496819061089898,23021
96,10.18862067277229,23041
97,10.18862067277229,23061
98,10.18862067277229,23081
99,10.18862067277229,23101
100,10.18862067277229,23121
101,11.796383407157615,23141
102,11.796383407157615,23161
103,11.796383407157615,23181
104,11.796383407157615,23201
105,11.796383407157615,23221
106,11.796383407157615,23241
107,11.796383407157615,23261
108,11.796383407157615,23281
109,11.796383407157615,23301
110,11.796383407157615,23321
111,11.796383407157615,23341
112,11.796383407157615,23361
113,11.796383407157615,23381
114,11.796383407157615,23401
115,11.796383407157615,23421
116,11.796383407157615,23441
117,11.796383407157615,23461
118,11.796383407157615,23481
119,11.52358912993309,23501
120,11.52358912993309,23521
121,11.52358912993309,23541
122,11.52358912993309,23561
123,11.52358912993309,23581
124,11.52358912993309,23601
125,11.52358912993309,23621
126,11.52358912993309,23641
127,11.52358912993309,23661
128,11.52358912993309,23681
129,11.52358912993309,23701
130,10.799450563090053,23721
131,10.799450563090053,23741
132,10.799450563090053,23761
133,10.799450563090053,23781
134,10.799450563090053,23801
135,10.799450563090053,23821
136,10.799450563090053,23841
137,10.799450563090053,23861
138,10.799450563090053,23881
139,10.799450563090053,23901
140,10.799450563090053,23921
141,10.799450563090053,23941
142,10.799450563090053,23961
143,10.799450563090053,23981
144,10.799450563090053,24001
145,10.799450563090053,24021
146,10.799450563090053,24041
147,10.799450563090053,24061
148,10.799450563090053,24081
149,10.799450563090053,24101
150,10.799450563090053,24121
151,10.799450563090053,24141
152,10.799450563090053,24161
153,10.799450563090053,24181
154,10.799450563090053,24201
155,10.799450563090053,24221
156,10.799450563090053,24241
157,10.799450563090053,24261
158,10.799450563090053,24281
159,10.799450563090053,24301
160,10.799450563090053,24321
161,10.799450563090053,24341
162,10.799450563090053,24361
163,10.799450563090053,24381
164,10.799450563090053,24401
165,10.799450563090053,24421
166,10.799450563090053,24441
167,10.799450563090053,24461
168,10.799450563090053,24481
169,10.799450563090053,24501
170,10.799450563090053,24521
171,10.799450563090053,24541
172,10.799450563090053,24561
173,10.799450563090053,24581
174,10.799450563090053,24601
175,10.799450563090053,24621
176,10.799450563090053,24641
177,10.799450563090053,24661
178,10.799450563090053,24681
179,10.799450563090053,24701
180,10.799450563090053,24721
181,10.799450563090053,24741
182,10.799450563090053,24761
183,10.799450563090053,24781
184,10.799450563090053,24801
185,10.799450563090053,24821
186,10.799450563090053,24841
187,10.799450563090053,24861
188,10.799450563090053,24881
189,10.799450563090053,24901
190,10.799450563090053,24921
191,10.799450563090053,24941
192,10.799450563090053,24961
193,10.799450563090053,24981
194,10.799450563090053,25001
195,10.799450563090053,25021
196,10.799450563090053,25041
197,10.799450563090053,25061
198,10.799450563090053,25081
199,10.799450563090053,25101
200,10.799450563090053,25121
201,10.799450563090053,25141
202,10.799450563090053,25161
203,10.799450563090053,25181
204,10.799450563090053,25201
205,10.799450563090053,25221
206,10.799450563090053,25241
207,10.835154577658866,25261
208,10.835154577658866,25281
209,10.835154577658866,25301
210,10.835154577658866,25321
