,date,hour,net_price,quantity,cost,avg_bench,product_id,product_name,gross_price,day_of_month,year,month,datetime,day_of_week_n,net_price_day_0,net_price_day_1,net_price_day_2,net_price_day_3,net_price_day_4,net_price_day_5,net_price_day_6
9418,2021-10-17,0,,0.0,,,,,,,,,,,,,,,,,
9419,2021-10-17,1,,0.0,,,,,,,,,,,,,,,,,
9420,2021-10-17,2,,0.0,,,,,,,,,,,,,,,,,
9421,2021-10-17,3,,0.0,,,,,,,,,,,,,,,,,
9422,2021-10-17,4,,0.0,,,,,,,,,,,,,,,,,
9423,2021-10-17,5,,0.0,,,,,,,,,,,,,,,,,
9424,2021-10-17,6,,0.0,,,,,,,,,,,,,,,,,
9425,2021-10-17,7,,0.0,,,,,,,,,,,,,,,,,
9426,2021-10-17,8,,0.0,,,,,,,,,,,,,,,,,
9427,2021-10-17,9,,0.0,,,,,,,,,,,,,,,,,
0,2021-10-17,10,2822.0,12.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,17.0,2021.0,10.0,,,,,,,,,
1,2021-10-17,11,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,17.0,2021.0,10.0,,,,,,,,,
2,2021-10-17,12,2301.6,20.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2740.0,17.0,2021.0,10.0,,,,,,,,,
3,2021-10-17,12,2822.0,12.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,17.0,2021.0,10.0,,,,,,,,,
4,2021-10-17,13,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,17.0,2021.0,10.0,,,,,,,,,
9428,2021-10-17,14,2822.0,0.0,,,,,,,,,,,,,,,,,
9429,2021-10-17,15,2822.0,0.0,,,,,,,,,,,,,,,,,
9430,2021-10-17,16,2822.0,0.0,,,,,,,,,,,,,,,,,
9431,2021-10-17,17,2822.0,0.0,,,,,,,,,,,,,,,,,
9432,2021-10-17,18,2822.0,0.0,,,,,,,,,,,,,,,,,
5,2021-10-17,19,2740.0,10.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2740.0,17.0,2021.0,10.0,,,,,,,,,
6,2021-10-17,19,2822.0,16.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,17.0,2021.0,10.0,,,,,,,,,
7,2021-10-17,20,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,17.0,2021.0,10.0,,,,,,,,,
9433,2021-10-17,21,2822.0,0.0,,,,,,,,,,,,,,,,,
9434,2021-10-17,22,2822.0,0.0,,,,,,,,,,,,,,,,,
9435,2021-10-17,23,2822.0,0.0,,,,,,,,,,,,,,,,,
9436,2021-10-18,0,2822.0,0.0,,,,,,,,,,,,,,,,,
9437,2021-10-18,1,2822.0,0.0,,,,,,,,,,,,,,,,,
9438,2021-10-18,2,2822.0,0.0,,,,,,,,,,,,,,,,,
9439,2021-10-18,3,2822.0,0.0,,,,,,,,,,,,,,,,,
9440,2021-10-18,4,2822.0,0.0,,,,,,,,,,,,,,,,,
9441,2021-10-18,5,2822.0,0.0,,,,,,,,,,,,,,,,,
9442,2021-10-18,6,2822.0,0.0,,,,,,,,,,,,,,,,,
8,2021-10-18,7,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
9,2021-10-18,8,2822.0,12.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
9443,2021-10-18,9,2822.0,0.0,,,,,,,,,,,,,,,,,
10,2021-10-18,10,2740.0,10.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2740.0,18.0,2021.0,10.0,,,,,,,,,
11,2021-10-18,10,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
12,2021-10-18,11,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
9444,2021-10-18,12,2822.0,0.0,,,,,,,,,,,,,,,,,
13,2021-10-18,13,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
14,2021-10-18,14,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
9445,2021-10-18,15,2822.0,0.0,,,,,,,,,,,,,,,,,
9446,2021-10-18,16,2822.0,0.0,,,,,,,,,,,,,,,,,
9447,2021-10-18,17,2822.0,0.0,,,,,,,,,,,,,,,,,
15,2021-10-18,18,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
9448,2021-10-18,19,2822.0,0.0,,,,,,,,,,,,,,,,,
16,2021-10-18,20,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
17,2021-10-18,21,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
18,2021-10-18,22,2822.0,8.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,18.0,2021.0,10.0,,,,,,,,,
9449,2021-10-18,23,2822.0,0.0,,,,,,,,,,,,,,,,,
19,2021-10-19,0,2301.6,10.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2740.0,19.0,2021.0,10.0,,,,,,,,,
9450,2021-10-19,1,2301.6,0.0,,,,,,,,,,,,,,,,,
9451,2021-10-19,2,2301.6,0.0,,,,,,,,,,,,,,,,,
9452,2021-10-19,3,2301.6,0.0,,,,,,,,,,,,,,,,,
9453,2021-10-19,4,2301.6,0.0,,,,,,,,,,,,,,,,,
9454,2021-10-19,5,2301.6,0.0,,,,,,,,,,,,,,,,,
9455,2021-10-19,6,2301.6,0.0,,,,,,,,,,,,,,,,,
20,2021-10-19,7,2822.0,4.0,,,7.888420588372063e+18,Papa Criolla Sin Lavar Tamaño Mixto Kg,2822.0,19.0,2021.0,10.0,,,,,,,,,
