date,country_code,holiday_name,holiday_type,is_holiday,is_holiday_day_after,is_holiday_two_days_after,is_holiday_day_before,is_holiday_two_days_before,main_activity,second_activity,third_activity
6/27/2022,CO,Sacred Heart,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
7/4/2022,CO,Feast of Saint Peter and Saint Paul,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
7/20/2022,CO,Independence Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,family,stay at home,0
8/7/2022,CO,Battle of Boyacá Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,family,stay at home,0
8/15/2022,CO,Assumption of Mary,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
9/17/2022,CO,Valentine's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,going out,dine out,big party
9/22/2022,CO,September Equinox,Seasonal,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
10/17/2022,CO,Columbus Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
10/31/2022,CO,Halloween,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,going out,big party,0
11/7/2022,CO,All Saints' Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
11/14/2022,CO,Colombian Women's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/7/2022,CO,Eve of the Feast of the Immaculate Conception,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,family,going out,0
12/8/2022,CO,Feast of the Immaculate Conception,National,TRUE,FALSE,FALSE,TRUE,FALSE,family,stay at home,0
12/21/2022,CO,December Solstice,Seasonal,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/24/2022,CO,Christmas Eve,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,travel,long weekend,0
12/25/2022,CO,Christmas Day,National,TRUE,FALSE,FALSE,TRUE,FALSE,travel,long weekend,0
12/31/2022,CO,New Year's Eve,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,travel,big party,0
