feature,importance
hour,0.442193091575233
trend_daily_lag2,0.2537909540692857
net_price,0.07267778671510793
net_price_day_5,0.06759263957947048
day_of_week_n,0.031949792897139166
FP_quantity_daily_lag2,0.0315867443603977
net_price_day_2,0.02415350289936603
quantity_ewm_alpha_095_lag_7,0.023925097014107992
quantity_hourly_lag132,0.01958243501475184
quantity_daily_lag4,0.010033228549003563
quantity_hourly_lag48,0.0061626700240186415
net_price_day_6,0.0047511355583250555
net_price_day_0,0.00463877422155837
net_price_day_4,0.003162194095674588
net_price_day_3,0.0030848248295790616
net_price_day_1,0.0007151285969809143
