feature,importance
hour,0.4295052702271025
net_price,0.2935564186645056
trend_daily_lag2,0.06499631234449108
quantity_ewm_alpha_095_lag_7,0.06006427662357769
quantity_hourly_lag132,0.0530841146536126
day_of_week_n,0.03579650786975749
FP_quantity_daily_lag2,0.017788077631792486
net_price_day_1,0.01598986924117417
quantity_daily_lag4,0.006967794080066591
net_price_day_4,0.004516630676271646
quantity_hourly_lag48,0.0044806523745160335
net_price_day_5,0.004041931457533554
net_price_day_0,0.0031042745338425637
net_price_day_3,0.002780922159129529
net_price_day_6,0.0019136446046842004
net_price_day_2,0.0014133028579422727
