feature,importance
hour,0.38516808653009077
quantity_hourly_lag132,0.16957899621159622
net_price,0.16009973340538555
quantity_daily_lag4,0.10702035428037741
net_price_day_4,0.055338980332281455
trend_daily_lag2,0.03822276691856552
quantity_hourly_lag48,0.03084888410895114
day_of_week_n,0.01888705192316103
quantity_ewm_alpha_095_lag_7,0.016841530503561807
FP_quantity_daily_lag2,0.008325204186066205
net_price_day_2,0.005036004134756096
net_price_day_3,0.0027093603078487045
net_price_day_1,0.0008976698974223636
net_price_day_0,0.0008532020589780717
net_price_day_5,0.0001721752009574716
net_price_day_6,0.0
