feature,importance
hour,0.43775849683314005
trend_daily_lag2,0.24995440125047189
net_price,0.07734446478156619
net_price_day_5,0.07439094322178351
day_of_week_n,0.033267634888839805
quantity_ewm_alpha_095_lag_7,0.03256733443775905
net_price_day_2,0.02414804171522452
quantity_hourly_lag132,0.019357001123711793
quantity_daily_lag4,0.016997202637335278
FP_quantity_daily_lag2,0.011634629675241204
quantity_hourly_lag48,0.006083731021304765
net_price_day_0,0.004980440211494732
net_price_day_6,0.004754538085902536
net_price_day_4,0.0032076890994274577
net_price_day_3,0.0028791402703550024
net_price_day_1,0.0006743107464421256
