iter	Passed	Remaining
406	6504	9476
407	6525	9468
408	6545	9457
409	6575	9462
410	6589	9443
411	6609	9433
412	6626	9418
413	6635	9392
414	6654	9380
415	6669	9363
416	6695	9360
417	6718	9353
418	6732	9335
419	6751	9323
420	6767	9307
421	6802	9316
422	6818	9301
423	6835	9286
424	6874	9301
425	6889	9283
426	6916	9281
427	6932	9265
428	6949	9250
429	7000	9280
430	7017	9264
431	7033	9248
432	7063	9248
433	7112	9275
434	7128	9258
435	7149	9248
436	7177	9247
437	7192	9228
438	7205	9208
439	7216	9184
440	7227	9161
441	7241	9142
442	7260	9129
443	7277	9112
444	7288	9090
445	7300	9068
446	7313	9047
447	7323	9023
448	7335	9002
449	7348	8981
450	7361	8961
451	7372	8938
452	7385	8918
453	7396	8895
454	7409	8875
455	7418	8850
456	7432	8830
457	7445	8811
458	7456	8788
459	7466	8764
460	7475	8740
461	7486	8717
462	7494	8692
463	7508	8673
464	7526	8660
465	7536	8636
466	7546	8612
467	7555	8588
468	7564	8564
469	7575	8542
470	7585	8520
471	7601	8503
472	7611	8480
473	7622	8459
474	7632	8435
475	7643	8414
476	7654	8393
477	7663	8369
478	7675	8348
479	7686	8327
480	7696	8304
481	7704	8280
482	7714	8257
483	7724	8235
484	7735	8214
485	7745	8191
486	7756	8170
487	7771	8154
488	7783	8133
489	7794	8112
490	7809	8095
491	7818	8072
492	7826	8049
493	7837	8027
494	7846	8005
495	7856	7983
496	7866	7961
497	7877	7940
498	7888	7920
499	7898	7898
500	7910	7878
501	7921	7858
502	7935	7840
503	7947	7821
504	7956	7798
505	7966	7777
506	7976	7755
507	7986	7734
508	7999	7716
509	8009	7695
510	8020	7675
511	8031	7654
512	8043	7636
513	8055	7616
514	8063	7594
515	8073	7572
516	8085	7553
517	8104	7541
518	8114	7520
519	8123	7498
520	8135	7479
521	8145	7458
522	8155	7438
523	8165	7417
524	8175	7397
525	8187	7378
526	8196	7356
527	8208	7337
528	8218	7317
529	8228	7297
530	8237	7276
531	8247	7255
532	8258	7235
533	8269	7216
534	8282	7199
535	8292	7178
536	8302	7158
537	8311	7137
538	8324	7120
539	8335	7100
540	8346	7081
541	8357	7062
542	8367	7042
543	8377	7022
544	8387	7002
545	8400	6984
546	8410	6964
547	8420	6945
548	8436	6930
549	8446	6910
550	8458	6892
551	8468	6873
552	8477	6852
553	8489	6834
554	8498	6814
555	8509	6795
556	8520	6776
557	8530	6757
558	8539	6737
559	8548	6716
560	8557	6696
561	8567	6677
562	8589	6667
563	8606	6653
564	8619	6635
565	8629	6616
566	8638	6596
567	8647	6577
568	8657	6557
569	8666	6538
570	8676	6518
571	8687	6500
572	8696	6480
573	8706	6461
574	8716	6442
575	8725	6423
576	8736	6404
577	8746	6385
578	8762	6371
579	8775	6354
580	8789	6338
581	8800	6320
582	8811	6302
583	8824	6285
584	8848	6277
585	8860	6260
586	8873	6243
587	8890	6229
588	8907	6215
589	8919	6198
590	8944	6189
591	8958	6173
592	8972	6157
593	8987	6143
594	9001	6127
595	9026	6118
596	9040	6102
597	9050	6084
598	9060	6065
599	9073	6049
600	9084	6031
601	9096	6013
602	9107	5996
603	9120	5979
604	9130	5961
605	9140	5943
606	9151	5925
607	9162	5907
608	9173	5889
609	9182	5870
610	9192	5852
611	9203	5835
612	9212	5815
613	9221	5797
614	9235	5781
615	9251	5767
616	9262	5749
617	9280	5736
618	9291	5718
619	9305	5703
620	9317	5686
621	9328	5669
622	9341	5652
623	9353	5636
624	9365	5619
625	9378	5602
626	9388	5585
627	9400	5568
628	9411	5551
629	9422	5533
630	9431	5515
631	9445	5500
632	9460	5484
633	9475	5470
634	9488	5453
635	9498	5436
636	9508	5418
637	9518	5401
638	9528	5383
639	9537	5364
640	9548	5347
641	9558	5329
642	9569	5312
643	9578	5294
644	9588	5277
645	9599	5260
646	9616	5246
647	9626	5228
648	9635	5211
649	9643	5192
650	9654	5175
651	9666	5159
652	9677	5142
653	9688	5125
654	9698	5108
655	9731	5103
656	9746	5088
657	9761	5073
658	9782	5061
659	9796	5046
660	9804	5028
661	9814	5011
662	9824	4993
663	9834	4976
664	9845	4959
665	9859	4944
666	9869	4927
667	9879	4910
668	9893	4894
669	9901	4876
670	9911	4859
671	9920	4842
672	9930	4825
673	9943	4809
674	9956	4793
675	9967	4777
676	9978	4760
677	9989	4744
678	9999	4727
679	10009	4710
680	10019	4693
681	10029	4676
682	10038	4659
683	10050	4643
684	10060	4626
685	10070	4609
686	10080	4592
687	10092	4576
688	10103	4560
689	10113	4543
690	10125	4527
691	10134	4510
692	10145	4494
693	10154	4477
694	10165	4461
695	10176	4445
696	10185	4427
697	10195	4411
698	10203	4393
699	10213	4377
700	10224	4361
701	10235	4344
702	10245	4328
703	10263	4315
704	10272	4298
705	10281	4281
706	10295	4266
707	10306	4250
708	10315	4233
709	10325	4217
710	10335	4200
711	10350	4186
712	10373	4175
713	10391	4162
714	10400	4145
715	10413	4130
716	10431	4117
717	10445	4102
718	10458	4087
719	10470	4071
720	10479	4055
721	10491	4039
722	10502	4023
723	10513	4007
724	10523	3991
725	10533	3975
726	10544	3959
727	10557	3944
728	10566	3927
729	10574	3911
730	10593	3898
731	10606	3883
732	10614	3866
733	10624	3850
734	10636	3834
735	10647	3819
736	10656	3802
737	10667	3787
738	10677	3771
739	10687	3755
740	10698	3739
741	10711	3724
742	10719	3707
743	10729	3691
744	10741	3676
745	10760	3663
746	10770	3647
747	10779	3631
748	10788	3615
749	10797	3599
750	10808	3583
751	10823	3569
752	10836	3554
753	10853	3541
754	10866	3526
755	10877	3510
756	10886	3494
757	10896	3478
758	10905	3462
759	10919	3448
760	10934	3433
761	10944	3418
762	10954	3402
763	10964	3387
764	10974	3371
765	10985	3355
766	10996	3340
767	11007	3325
768	11016	3309
769	11026	3293
770	11037	3278
771	11049	3263
772	11062	3248
773	11078	3234
774	11094	3220
775	11103	3205
776	11113	3189
777	11124	3174
778	11134	3158
779	11147	3144
780	11161	3129
781	11171	3114
782	11181	3098
783	11188	3082
784	11213	3071
785	11223	3055
786	11235	3040
787	11251	3027
788	11264	3012
789	11277	2997
790	11288	2982
791	11299	2967
792	11311	2952
793	11322	2937
794	11336	2923
795	11347	2908
796	11358	2893
797	11371	2878
798	11383	2863
799	11394	2848
800	11403	2833
801	11418	2818
802	11427	2803
803	11440	2788
804	11450	2773
805	11462	2759
806	11472	2743
807	11482	2728
808	11492	2713
809	11504	2698
810	11516	2683
811	11526	2668
812	11538	2653
813	11547	2638
814	11557	2623
815	11570	2609
816	11587	2595
817	11597	2580
818	11607	2565
819	11618	2550
820	11626	2534
821	11637	2519
822	11649	2505
823	11660	2490
824	11670	2475
825	11679	2460
826	11689	2445
827	11698	2430
828	11708	2415
829	11719	2400
830	11728	2385
831	11738	2370
832	11755	2356
833	11765	2341
834	11774	2326
835	11784	2311
836	11795	2297
837	11805	2282
838	11815	2267
839	11831	2253
840	11840	2238
841	11849	2223
842	11860	2208
843	11871	2194
844	11881	2179
845	11890	2164
846	11900	2149
847	11922	2137
848	11933	2122
849	11944	2107
850	11956	2093
851	11968	2078
852	11981	2064
853	11993	2050
854	12006	2036
855	12017	2021
856	12027	2006
857	12037	1992
858	12046	1977
859	12056	1962
860	12068	1948
861	12078	1933
862	12087	1918
863	12098	1904
864	12114	1890
865	12125	1876
866	12135	1861
867	12144	1846
868	12153	1832
869	12162	1817
870	12171	1802
871	12181	1788
872	12191	1773
873	12200	1758
874	12209	1744
875	12220	1729
876	12229	1715
877	12239	1700
878	12249	1686
879	12260	1671
880	12277	1658
881	12287	1643
882	12296	1629
883	12309	1615
884	12321	1601
885	12330	1586
886	12341	1572
887	12354	1558
888	12363	1543
889	12373	1529
890	12382	1514
891	12395	1500
892	12405	1486
893	12415	1472
894	12428	1458
895	12445	1444
896	12454	1430
897	12465	1415
898	12475	1401
899	12484	1387
900	12501	1373
901	12530	1361
902	12551	1348
903	12572	1335
904	12589	1321
905	12608	1308
906	12637	1295
907	12655	1282
908	12673	1268
909	12694	1255
910	12711	1241
911	12727	1228
912	12740	1214
913	12771	1201
914	12783	1187
915	12810	1174
916	12834	1161
917	12851	1147
918	12865	1133
919	12880	1120
920	12897	1106
921	12931	1093
922	12946	1080
923	12965	1066
924	12992	1053
925	13012	1039
926	13054	1028
927	13068	1013
928	13081	999
929	13091	985
930	13102	971
931	13113	956
932	13124	942
933	13134	928
934	13145	913
935	13156	899
936	13164	885
937	13175	870
938	13185	856
939	13204	842
940	13216	828
941	13225	814
942	13238	800
943	13249	785
944	13261	771
945	13271	757
946	13280	743
947	13293	729
948	13304	715
949	13314	700
950	13326	686
951	13338	672
952	13363	659
953	13375	644
954	13387	630
955	13401	616
956	13415	602
957	13428	588
958	13439	574
959	13454	560
960	13475	546
961	13490	532
962	13503	518
963	13515	504
964	13535	490
965	13547	476
966	13559	462
967	13568	448
968	13579	434
969	13591	420
970	13600	406
971	13609	392
972	13618	377
973	13628	363
974	13641	349
975	13658	335
976	13674	321
977	13690	307
978	13703	293
979	13715	279
980	13727	265
981	13737	251
982	13749	237
983	13758	223
984	13775	209
985	13801	195
986	13814	181
987	13832	168
988	13848	154
989	13859	139
990	13869	125
991	13879	111
992	13894	97
993	13907	83
994	13924	69
995	13936	55
996	13945	41
997	13955	27
998	13966	13
999	13977	0
