feature,importance
hour,0.6938327871058527
trend_daily_lag2,0.17290246756957375
net_price_day_5,0.038348115208391785
day_of_week_n,0.028373869186174794
net_price_day_0,0.026984802987749728
net_price,0.015170334382924179
rolling_avg_quantity_30_lag2,0.008690725703164943
net_price_day_6,0.006771187125783329
quantity_ewm_alpha_095_lag_2,0.005186550172070235
net_price_day_4,0.0009006478290752414
net_price_day_1,0.0008756836992613995
net_price_day_3,0.0006920828677370543
net_price_day_2,0.0006464916764722157
inflation,0.0006242544857685364
