feature,importance
net_price_day_4,0.4440446864400711
net_price,0.17147145248386156
inflation,0.11652878469387935
hour,0.0733100280081046
net_price_day_6,0.07119325491081575
net_price_day_0,0.060234084787891315
net_price_day_1,0.03964729784475763
day_of_week_n,0.016189856321752107
quantity_lag2,0.004150490112235696
net_price_day_3,0.0018365472006804425
net_price_day_2,0.0007276271053272911
net_price_day_5,0.0006658900906231303
