feature,importance
hour,0.6337115008374637
net_price,0.1637754060158439
trend_daily_lag2,0.10391449776447004
net_price_day_3,0.03339286329113894
quantity_ewm_alpha_095_lag_2,0.019109421241150847
rolling_avg_quantity_30_lag2,0.015743722646127285
day_of_week_n,0.009075296934285505
net_price_day_1,0.005313630391678398
net_price_day_0,0.005305014641201757
net_price_day_5,0.0051705303182735685
net_price_day_2,0.002521203395930044
net_price_day_6,0.0024058272419585644
net_price_day_4,0.0004277983805433388
inflation,0.0001332868999338528
