feature,importance
hour,0.4439165144834392
trend_daily_lag2,0.2471970487419473
net_price,0.07600806260195295
net_price_day_5,0.07569076877940963
day_of_week_n,0.033336212068827906
net_price_day_2,0.02421411742247583
FP_quantity_daily_lag2,0.023101539754232226
quantity_ewm_alpha_095_lag_7,0.02263172619300955
quantity_hourly_lag132,0.019398707170925816
quantity_daily_lag4,0.010314360918713307
net_price_day_3,0.006234324894299079
quantity_hourly_lag48,0.006127635568238006
net_price_day_6,0.0047474763302307555
net_price_day_4,0.0032201447021915353
net_price_day_0,0.0031907342681105548
net_price_day_1,0.0006706261019962218
