feature,importance
hour,0.513317330179924
net_price,0.16858738580355798
quantity_ewm_alpha_095_lag_7,0.10221029240780843
trend_daily_lag2,0.06558171696811807
quantity_daily_lag4,0.05130643315258888
day_of_week_n,0.024157684655333425
quantity_hourly_lag48,0.023084912334669312
quantity_hourly_lag132,0.022790148746032177
FP_quantity_daily_lag2,0.01069879614176768
net_price_day_5,0.006296387259476209
net_price_day_3,0.004607745758091911
net_price_day_6,0.0028146415113012796
net_price_day_2,0.0015679411690762055
net_price_day_1,0.0014020891354041528
net_price_day_0,0.0009154313594623671
net_price_day_4,0.0006610634173878877
