feature,importance
hour,0.44630631989488817
net_price,0.16796342658340196
quantity_FP_lag48,0.09958704714938606
quantity_ewm_alpha_095_lag_7,0.09812981350136245
trend_daily_lag2,0.07130596699694096
quantity_hourly_lag132,0.042034653088595435
quantity_daily_lag4,0.0266219168215516
day_of_week_n,0.014600230803267538
FP_trend_daily_lag2,0.008737755552738508
net_price_day_6,0.00839166854988753
net_price_day_5,0.006222015761261822
net_price_day_3,0.003699233273902759
net_price_day_2,0.002377127960511761
net_price_day_4,0.0016001971510539535
net_price_day_1,0.0014464920522940824
net_price_day_0,0.0009761348589552712
