feature,importance
hour,0.3412782158664599
quantity_hourly_lag132,0.17515508847726263
net_price,0.15812284673174792
quantity_daily_lag4,0.10892153271829737
net_price_day_4,0.05698398688362228
quantity_FP_lag48,0.047138083409940995
trend_daily_lag2,0.039331321678264725
day_of_week_n,0.02318359263027692
quantity_ewm_alpha_095_lag_7,0.015691904665605615
net_price_day_2,0.012064470808482691
FP_quantity_daily_lag2,0.009003144191943733
quantity_hourly_lag48,0.008480680990028714
net_price_day_3,0.0026861405479292728
net_price_day_1,0.0009897011380238649
net_price_day_0,0.0008340661741480047
net_price_day_5,0.00013522308796540315
net_price_day_6,0.0
